call,discharge,Fs,Foil,Fg,pressure,Fw,yield,max_conc
102,1.0759325850852972,1.029127376498005,1.09195020857331,1.0963520064943548,0.9014180256310691,1.0938296843087139,1701.1267345627139,15.28793351692603
103,1.0088086201034112,1.085249463532748,0.9003023524380419,0.9043497556769524,0.9034176159164854,1.0773932307157867,1278.2319092462533,11.197281082757288
104,0.9220467524363247,1.0965415229539686,1.0929391221240434,0.9895860799547289,0.9001467297317834,0.9289946150474339,1590.750565723459,14.252622249303256
105,0.9104949132242037,1.0287980554623675,1.0881198896939779,1.0981076018127311,0.9012169580141359,1.0122995911535448,1958.2551394692712,17.311738071429478
106,1.0980082372710587,1.0356812656744163,1.0926903051530346,1.0992343584347253,1.0982557003126363,1.055629404920134,1700.3959923717837,15.136993064261699
107,0.9146502314022597,0.9899403798045998,1.0923830915773187,1.097419366154807,0.9000909986299739,0.9262168468919885,1903.7083394406125,17.227978902894254
108,0.9046288856884117,1.033649804577967,1.0929928952368126,1.0998267360134744,0.9143999607922558,1.072639491777769,1840.865804310476,15.67903967975557
109,1.0984916019052782,0.975781969617743,0.9274722640950024,1.096536184377858,0.90302887441214,1.0249192122974884,1710.1676301524726,16.313123780916936
110,1.050322796696781,0.976338666740617,1.0947549980499114,1.0965272292717496,0.903955620304032,1.0517856520701165,1770.029577189001,15.838251313550492
111,1.0978536257438711,0.9920141757372095,0.901697706934468,1.0455993542404534,0.9008340835551346,1.0219564892969508,1312.27764505585,11.93388847244831
112,0.9026865333708076,1.054341547533102,1.0887563675415772,1.0995994322185296,0.9102534442003384,0.9983287259093883,1558.826325712877,13.955328816948963
113,0.9299799582066005,0.9365196624784424,1.0892695073516014,1.0996483464793547,0.9002418165656593,0.9943542801121288,1747.1477136767312,16.131613122126137
114,0.9146713251469158,0.9805665064162986,1.0950936958409265,1.060011814145471,0.900344495765685,0.9809404340073338,1946.4475841453916,17.698616909427653
115,1.0862789934588204,0.9260785698734324,1.0958788381403324,1.0961859276629102,0.9159894582150148,0.9431474736467543,1995.173021621654,18.643998963665304
116,0.9680812587786063,1.077934655650074,1.094131478133822,1.0991748203784169,0.9070670503293967,1.0522009814778057,1682.7592646951655,14.675479195482334
117,1.0918233020219135,1.0021454384468047,1.0832936301107647,1.0990514421941024,0.9036014367884616,1.0750222690955489,1827.1117630500664,16.621652621687396
118,0.940247890531112,0.9313916575504285,1.0968979363738591,1.0956062125104533,1.0959818039313698,0.9460644714693726,1477.1304245298395,13.397312877624797
119,1.0593253907550204,1.0588951953270767,0.9023989386005059,1.095554903755085,1.099000878746817,1.0184365491688492,1533.5913775841198,13.989575244959589
120,1.0112367085853622,1.0781962770975202,1.0976803289472945,1.098432157899305,0.9114275047214871,1.0161922764148266,1848.6037866138809,16.3609584248813
121,0.9561869682916682,1.021226590458923,1.0914348866661454,1.0990375009094582,1.0985827094946468,1.0514025260704558,1693.8633403606814,14.8507649917518
122,0.9716949872996798,1.083867525515041,1.0932924891121458,0.9040459898665795,0.9005745473892138,1.0198599883554338,1535.0603406846008,13.181638003746768
123,1.017810601244543,1.0871989820147292,1.0999816428289737,1.0991107255992851,0.9064684868749919,0.9427971673127449,1732.5838538200908,15.551497190824511
124,0.9723319796815922,0.9837550935507293,1.0932535516771782,1.0990200305451463,1.0999290873826326,0.970855312454368,1689.0771964496946,15.29568309898475
