family,run,episode,dt_dec,n_steps,n_bad_steps,hours_bad,n_tr,n_bad_tr,bad_tr_phase1,bad_tr_phase2,n_tr_phase1,n_tr_phase2,first_bad_h,final_P
dual_phase_baseline,dual_phase_baseline/seed4_1,12,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,21.77749449007376
dual_phase_baseline,dual_phase_baseline/seed4_1,13,5.111111111111111,1150,5,1.0,44,2,0,2,17,27,215.4,25.556554222698917
dual_phase_baseline,dual_phase_baseline/seed4_1,14,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,29.685349287536727
dual_phase_baseline,dual_phase_baseline/seed4_10,0,5.111111111111111,1150,16,3.2,44,1,0,1,17,27,210.20000000000002,22.783749185804588
dual_phase_baseline,dual_phase_baseline/seed4_10,1,5.111111111111111,1150,113,22.6,44,7,4,3,17,27,72.60000000000001,28.211753549982404
dual_phase_baseline,dual_phase_baseline/seed4_10,2,5.111111111111111,1150,8,1.6,44,2,0,2,17,27,201.8,24.5971688251632
dual_phase_baseline,dual_phase_baseline/seed4_10,3,5.111111111111111,1150,169,33.800000000000004,44,8,1,7,17,27,85.80000000000001,24.45024755748408
dual_phase_baseline,dual_phase_baseline/seed4_10,4,5.111111111111111,1150,11,2.2,44,2,1,1,17,27,88.0,28.62097404135479
dual_phase_baseline,dual_phase_baseline/seed4_10,5,5.111111111111111,1150,51,10.200000000000001,44,6,2,4,17,27,83.0,25.022776428894495
dual_phase_baseline,dual_phase_baseline/seed4_10,6,5.111111111111111,1150,130,26.0,44,8,2,6,17,27,83.2,27.714330326257947
dual_phase_baseline,dual_phase_baseline/seed4_2,0,2.017543859649123,1150,17,3.4000000000000004,115,2,0,2,44,71,210.20000000000002,22.743904437970325
dual_phase_baseline,dual_phase_baseline/seed4_2,1,2.017543859649123,1150,12,2.4000000000000004,115,3,1,2,44,71,40.400000000000006,26.57544167738596
dual_phase_baseline,dual_phase_baseline/seed4_2,2,2.017543859649123,1150,2,0.4,115,1,0,1,44,71,213.60000000000002,23.466122701660485
dual_phase_baseline,dual_phase_baseline/seed4_2,3,2.017543859649123,1150,166,33.2,115,19,0,19,44,71,160.20000000000002,22.08841907347901
dual_phase_baseline,dual_phase_baseline/seed4_2,4,2.017543859649123,1150,9,1.8,115,2,1,1,44,71,60.400000000000006,28.653881252857857
dual_phase_baseline,dual_phase_baseline/seed4_2,5,2.017543859649123,1150,54,10.8,115,7,5,2,44,71,79.60000000000001,25.43566310020793
dual_phase_baseline,dual_phase_baseline/seed4_2,6,2.017543859649123,1150,676,135.20000000000002,115,72,6,66,44,71,78.0,6.252768011141507
dual_phase_baseline,dual_phase_baseline/seed4_2,7,2.017543859649123,1150,6,1.2000000000000002,115,2,0,2,44,71,89.4,27.2054397679831
dual_phase_baseline,dual_phase_baseline/seed4_2,8,2.017543859649123,1150,59,11.8,115,9,3,6,44,71,83.0,29.42631817782707
dual_phase_baseline,dual_phase_baseline/seed4_2,9,2.017543859649123,1150,4,0.8,115,1,0,1,44,71,160.20000000000002,25.988100061852833
dual_phase_baseline,dual_phase_baseline/seed4_2,10,2.017543859649123,1150,11,2.2,115,2,1,1,44,71,88.0,26.7277546239156
dual_phase_baseline,dual_phase_baseline/seed4_2,11,2.017543859649123,1150,101,20.200000000000003,115,15,1,14,44,71,86.2,28.823686760187737
