model,cost,arch,time_in_gp,pivot_type,protocol,train_seed,eval_seed,delay_h,yield_kg,yield_gated,delta_vs_recipe,delta_gated,recipe_yield_kg,final_P,max_viscosity,visc_exceed,max_Wt,wt_overflow,violation,paa_frac_out_of_band,pivot_h
SP -time,ConcCost,single,-time,-,5 expl,4,700005,60.0,3797.5256384947234,3797.5256384947234,463.0973793092721,463.0973793092721,3334.428259185451,31.893184472652024,82.64056524494501,False,99323.47381490188,False,0,0.0,95.0
SP +time,ConcCost,single,+time,-,5 expl,4,700006,60.0,3726.784101461361,3726.784101461361,538.5989862202468,538.5989862202468,3188.185115241114,30.34684223062372,75.37431942397829,False,100026.03395840531,False,0,0.0,100.0
SP -time,ConcCost,single,-time,-,5 expl,4,700006,60.0,3765.90519828672,3765.90519828672,577.7200830456059,577.7200830456059,3188.185115241114,30.477815674300896,77.16307667850663,False,100609.67969547184,False,0,0.0,95.0
SP +time,ConcCost,single,+time,-,5 expl,4,700007,60.0,3124.411150025335,3124.411150025335,426.4220350977257,426.4220350977257,2697.989114927609,25.448124276501723,71.82808726403009,False,100799.40018639024,False,0,0.0,100.0
SP -time,ConcCost,single,-time,-,5 expl,4,700007,60.0,3138.432959306843,3138.432959306843,440.4438443792337,440.4438443792337,2697.989114927609,25.49507833581049,72.8827265927574,False,100820.0480317199,False,0,0.0,95.0
SP +time,ConcCost,single,+time,-,5 expl,4,700008,60.0,3127.8779846787615,3127.8779846787615,409.40290267080536,409.40290267080536,2718.475082007956,25.077008176339763,68.12479454407764,False,102606.3507402986,False,0,0.0243478260869565,110.0
SP -time,ConcCost,single,-time,-,5 expl,4,700008,60.0,3154.6985688396144,3154.6985688396144,436.2234868316582,436.2234868316582,2718.475082007956,25.18744220154175,68.99952939343937,False,102827.73850674172,False,0,0.0243478260869565,100.0
SP +time,ConcCost,single,+time,-,5 expl,4,700009,60.0,3218.646980016656,3218.646980016656,436.3919837499261,436.3919837499261,2782.25499626673,25.644539470962616,71.335964922548,False,104021.06244883806,False,0,0.0104347826086956,100.0
SP -time,ConcCost,single,-time,-,5 expl,4,700009,60.0,3221.722942290804,3221.722942290804,439.4679460240741,439.4679460240741,2782.25499626673,25.66049734610003,71.96145716000362,False,103653.99605536462,False,0,0.0104347826086956,100.0
SP +time,ConcCost,single,+time,-,5 expl,4,700000,80.0,2806.6572600714385,2806.6572600714385,289.447090013713,289.447090013713,2517.2101700577255,24.54061684836729,70.64074767425437,False,95606.74610595703,False,0,0.0121739130434782,125.0
SP -time,ConcCost,single,-time,-,5 expl,4,700000,80.0,2881.11406403054,2881.11406403054,363.90389397281433,363.90389397281433,2517.2101700577255,24.943585926857384,73.38642951079125,False,96836.4174276914,False,0,0.0113043478260869,120.0
SP +time,ConcCost,single,+time,-,5 expl,4,700001,80.0,3072.3240683769664,3072.3240683769664,335.3782709418265,335.3782709418265,2736.94579743514,26.502150342688317,65.53136941892495,False,98727.12116962676,False,0,0.0191304347826086,130.0
SP -time,ConcCost,single,-time,-,5 expl,4,700001,80.0,3146.836322467696,3146.836322467696,409.89052503255607,409.89052503255607,2736.94579743514,26.708399541420217,68.08117746110106,False,100490.99016306564,False,0,0.0191304347826086,125.0
SP +time,ConcCost,single,+time,-,5 expl,4,700002,80.0,2933.6790888828887,2933.6790888828887,182.20213039095415,182.20213039095415,2751.4769584919345,25.2009442693668,80.40123961253687,False,93507.63677144091,False,0,0.0,115.0
SP -time,ConcCost,single,-time,-,5 expl,4,700002,80.0,2767.5452969079374,2767.5452969079374,16.068338416002916,16.068338416002916,2751.4769584919345,23.430919313972016,83.55578665683873,False,93239.76278294642,False,0,0.0,110.0
SP +time,ConcCost,single,+time,-,5 expl,4,700003,80.0,2948.220340997823,2948.220340997823,332.0730304360018,332.0730304360018,2616.147310561821,25.17987590517948,68.88077333307926,False,98057.50224773987,False,0,0.0217391304347826,125.0
SP -time,ConcCost,single,-time,-,5 expl,4,700003,80.0,2982.497647014028,2982.497647014028,366.3503364522071,366.3503364522071,2616.147310561821,25.22641113244668,71.48327812671005,False,99059.8248256486,False,0,0.0208695652173913,120.0
SP +time,ConcCost,single,+time,-,5 expl,4,700004,80.0,2507.2800280128945,2507.2800280128945,188.39014443892165,188.39014443892165,2318.889883573973,21.53290506034648,64.29920146457795,False,95304.8139351529,False,0,0.0243478260869565,125.0
SP -time,ConcCost,single,-time,-,5 expl,4,700004,80.0,2629.576101834238,2629.576101834238,310.6862182602654,310.6862182602654,2318.889883573973,22.346370953029098,67.58208389426548,False,97543.14585450018,False,0,0.0243478260869565,120.0
SP +time,ConcCost,single,+time,-,5 expl,4,700005,80.0,3388.060190833903,3388.060190833903,405.9345699148121,405.9345699148121,2982.125620919091,29.66700272559823,77.02738420706302,False,96149.17962290856,False,0,0.0,120.0
SP -time,ConcCost,single,-time,-,5 expl,4,700005,80.0,3322.002187192995,3322.002187192995,339.8765662739038,339.8765662739038,2982.125620919091,29.0159621440595,79.84322239146839,False,95991.16792081734,False,0,0.0,115.0
SP +time,ConcCost,single,+time,-,5 expl,4,700006,80.0,3246.5288024254264,3246.5288024254264,384.9437107835415,384.9437107835415,2861.585091641885,27.909872779833123,71.12273891354359,False,94950.31938414204,False,0,0.0,120.0
SP -time,ConcCost,single,-time,-,5 expl,4,700006,80.0,3335.8988161047782,3335.8988161047782,474.31372446289333,474.31372446289333,2861.585091641885,28.211734786964325,74.75122238428051,False,97060.91630385458,False,0,0.0,115.0
SP +time,ConcCost,single,+time,-,5 expl,4,700007,80.0,2758.867270701657,2758.867270701657,304.62670621752886,304.62670621752886,2454.2405644841283,23.679815819607953,67.5649493644228,False,95508.77711328038,False,0,0.0,125.0
SP -time,ConcCost,single,-time,-,5 expl,4,700007,80.0,2831.500976891746,2831.500976891746,377.2604124076179,377.2604124076179,2454.2405644841283,23.905557863421123,70.80987049609853,False,97602.13758354362,False,0,0.0,120.0
SP +time,ConcCost,single,+time,-,5 expl,4,700008,80.0,2698.200488623716,2698.200488623716,230.9282316706749,230.9282316706749,2467.272256953041,22.86257870902093,63.2734222763985,False,96236.47615879167,False,0,0.0243478260869565,130.0
SP -time,ConcCost,single,-time,-,5 expl,4,700008,80.0,2828.987837526036,2828.987837526036,361.7155805729949,361.7155805729949,2467.272256953041,23.565437992379167,66.87024796810154,False,99093.27436337314,False,0,0.0243478260869565,125.0
SP +time,ConcCost,single,+time,-,5 expl,4,700009,80.0,2780.0803670053333,2780.0803670053333,284.9426075179722,284.9426075179722,2495.137759487361,23.34186690891827,66.70920428991785,False,98376.11435588363,False,0,0.0104347826086956,125.0
SP -time,ConcCost,single,-time,-,5 expl,4,700009,80.0,2843.584565232457,2843.584565232457,348.44680574509584,348.44680574509584,2495.137759487361,23.571545393823023,69.62517734622374,False,100056.86878967215,False,0,0.0104347826086956,120.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700000,0.0,3926.238407757445,3926.238407757445,458.9095054926206,458.9095054926206,3467.3289022648246,29.404760512681,85.43533232199796,False,107961.94670099633,False,0,0.0113043478260869,60.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700000,0.0,3848.843848379835,3848.843848379835,381.5149461150104,381.5149461150104,3467.3289022648246,29.119668669133635,84.10766647825085,False,106313.71338319172,False,0,0.0113043478260869,60.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700001,0.0,4061.4201002542823,4061.4201002542823,487.52088956743137,487.52088956743137,3573.899210686851,29.96449994287929,76.5552483845664,False,111695.7900647722,False,0,0.0191304347826086,65.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700001,0.0,4096.404419017291,4096.404419017291,522.5052083304399,522.5052083304399,3573.899210686851,30.212028958374685,75.62999730517099,False,112096.65748106544,False,0,0.0191304347826086,65.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700002,0.0,3429.1204995411495,3429.1204995411495,-267.4977237454027,-267.4977237454027,3696.618223286552,25.691514784597576,98.3195631605831,False,103376.94326703512,False,0,0.0,60.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700002,0.0,3523.4076668858843,3523.4076668858843,-173.21055640066788,-173.21055640066788,3696.618223286552,26.61046082523666,95.53591986810645,False,101903.30229300055,False,0,0.0,60.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700003,0.0,4037.2221419720263,4037.2221419720263,510.63354182260446,510.63354182260446,3526.588600149422,29.431359662111223,81.31024192788891,False,112085.17313201088,False,0,0.02,65.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700003,0.0,3991.084884483649,3991.084884483649,464.4962843342273,464.4962843342273,3526.588600149422,29.28336702717473,79.86178927835054,False,111319.39585552637,False,0,0.0208695652173913,70.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700004,0.0,3636.029330270934,3636.029330270934,421.52272351363627,421.52272351363627,3214.506606757298,26.629820189475303,83.33517963755304,False,109553.92474959248,False,0,0.0234782608695652,60.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700004,0.0,3606.022816250822,3606.022816250822,391.516209493524,391.516209493524,3214.506606757298,26.615124243551,82.27318822764661,False,108556.91165526756,False,0,0.0243478260869565,60.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700005,0.0,4710.199472262771,4710.199472262771,588.2046015232718,588.2046015232718,4121.9948707395,35.79890768624464,89.96663040267435,False,107058.4265180782,False,0,0.0,60.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700005,0.0,4506.408860331543,4506.408860331543,384.41398959204344,384.41398959204344,4121.9948707395,34.954681749033846,87.77835740282165,False,103482.79211816016,False,0,0.0,60.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700006,0.0,4533.959673462901,4533.959673462901,548.2014647238125,548.2014647238125,3985.758208739089,33.48457235352233,87.6007408132933,False,107475.4775453635,False,0,0.0,60.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700006,0.0,4374.019239740519,4374.019239740519,388.2610310014302,388.2610310014302,3985.758208739089,32.876632211967504,85.86548053322751,False,104486.24221721374,False,0,0.0,60.0
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,4,700007,0.0,3760.4505152502816,3760.4505152502816,405.2512084084974,405.2512084084974,3355.199306841784,27.64668014302765,84.32019604010567,False,108519.84408035302,False,0,0.0,60.0
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,4,700007,0.0,3712.12377739032,3712.12377739032,356.92447054853574,356.92447054853574,3355.199306841784,27.519149381596645,83.11114960215959,False,107129.73230592716,False,0,0.0,60.0
